company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes,known_total_layoffs,known_impacted_workforce_percentage
Khoros,120.0,10.0,2022-10-21,"saas, enterprise software",Austin,Austin Business News,Private,None,1,1
Bonterra,140.0,10.0,2023-01-13,"social impact, finance",Distributed,The Nonprofit Times,Private,None,1,1
Chargebee,142.0,10.0,2022-11-02,"fintech, saas",San Francisco,TechCrunch,Private,None,1,1
6sense,150.0,10.0,2022-10-12,"artificial intelligence, machine learning",San Francisco,MoneyControl,Private,None,1,1
Relativity,150.0,10.0,2022-12-07,"data science, enterprise",Chicago,Crain's Chicago,Private,None,1,1
TIFIN,21.0,10.0,2022-06-14,fintech,Boulder,Axios,Private,None,1,1
Lusha,30.0,10.0,2022-07-18,sales tech,New York,CTech,Private,None,1,1
Aqua Security,65.0,10.0,2022-12-05,"secops, security","Burlington, MA",Calcalistech,Private,None,1,1
Spin,78.0,10.0,2022-09-30,transportation,San Francisco,TechCrunch,Private,None,1,1
Verbit,80.0,10.0,2022-07-05,natural language processing,New York,CTech,Private,None,1,1
ZenLedger,,10.0,2022-12-09,"blockchain, cryptocurrency","Bellevue, WA",Blockworks,Private,None,0,1
Firework,,10.0,2022-11-29,"e-commerce, retail",San Francisco,The Information,Private,None,0,1
Mythical Games,,10.0,2022-11-04,"video games, blockchain",Los Angeles,Bloomberg,Private,None,0,1
Apartment List,,10.0,2022-08-31,proptech,San Francisco,CEO Matthew Woods,Private,None,0,1
impact.com,,10.0,2022-08-25,digital marketing,"Santa Barbara, CA",impact.com,Private,None,0,1
80 Acres Farms,,10.0,2023-01-18,"indoor farming, agtech","Hamilton, OH",CincinnatiInno,Private,None,0,1
98point6,,10.0,2022-07-21,health care,Seattle,GeekWire,Private,None,0,1
Gemini,,10.0,2022-06-02,"fintech, crypto",New York,Bloomberg,Private,None,0,1
Side,,10.0,2022-06-01,proptech,San Francisco,Inman,Private,None,0,1
Carta,200.0,10.0,2023-01-11,fintech,San Francisco,TechCrunch,Private,None,1,1
ConsenSys,100.0,11.0,2023-01-10,"cryptocurrency, fintech",New York,CoinDesk,Private,None,1,1
Tipalti,123.0,11.0,2023-01-11,fintech,San Mateo,Calcalistech,Private,None,1,1
Brex,136.0,11.0,2022-10-11,fintech,San Francisco,TechCrunch,Private,None,1,1
Salsify,90.0,11.0,2022-11-16,"cloud computing, e-commerce",Boston,Boston Business Journal,Private,None,1,1
SADA,,11.0,2022-11-08,"cloud computing, it",Los Angeles,SADA CEO,Private,None,0,1
Momentive,,11.0,2022-10-14,information technology,"Waterford, MI",TechCrunch,Private,None,0,1
Automox,,11.0,2022-04-18,security,Boulder,LinkedIn,Private,None,0,1
Klarna,750.0,12.0,2022-09-22,fintech,Stockholm,Sifted,Private,None,1,1
JumpCloud,100.0,12.0,2023-01-18,"cloud services, cybersecurity","Louisville, CO",JumpCloud,Private,None,1,1
Chime,156.0,12.0,2022-11-02,fintech,San Francisco,The Information,Private,None,1,1
Embroker,30.0,12.0,2022-10-25,insurtech,San Francisco,The Insurer,Private,None,1,1
Divvy Homes,40.0,12.0,2022-09-27,proptech,San Franicsco,The Information,Private,None,1,1
Ethos Life,40.0,12.0,2022-06-24,insurtech,San Francisco,Coverager,Private,None,1,1
GoFundMe,94.0,12.0,2022-10-26,crowdfunding,"Redwood City, CA",GoFundMe,Private,None,1,1
Digital Currency Group,10.0,13.0,2022-11-02,cryptocurrency,"Stamford, CT",Coindesk,Private,None,1,1
Intercom,124.0,13.0,2022-11-14,"customer service, automation",San Franicsco,Silicon Republic,Private,None,1,1
SundaySky,24.0,13.0,2022-07-11,video conferencing software,New York,Globes,Private,"Layoffs affect employees in the U.S., Israel, and Japan. Layoffs affected around 13% of employees.",1,1
Chipper Cash,50.0,13.0,2022-12-06,"fintech, money transfer",San Francisco,TechCrunch,Private,None,1,1
Udacity,55.0,13.0,2022-10-11,"edtech, artificial intelligence","Mountain View, CA",Udacity,Private,None,1,1
Sourcepoint,7.0,13.0,2022-06-02,"privacy tech, marketing tech",New York,Crunchbase News reporting,Private,Company did not respond to a request to confirm details of layoffs. Layoffs affected around 13% of employees.,1,1
Thirty Madison,,13.0,2022-08-18,"health care, wellness",Greater New York area,Fierce Healthcare,Private,None,0,1
Sendoso,100.0,14.0,2022-06-06,marketing automation,San Francisco,Business Insider,Private,None,1,1
Malwarebytes,125.0,14.0,2022-08-17,"security, enterprise software",San Francisco,TechCrunch,Private,None,1,1
Substack,13.0,14.0,2022-06-29,"media, content creators",San Francisco,New York Times,Private,None,1,1
Morning Brew,,14.0,2022-11-17,"media, news",New York,Max Tani,Private,None,0,1
Benitago Group,,14.0,2022-11-04,"e-commerce, retail",New York,TechCrunch,Private,None,0,1
Juniper Square,,14.0,2022-09-06,proptech,San Francisco,The Real Deal,Private,None,0,1
Nayya,16.0,15.0,2022-06-17,"employee benefits, hr tech",New York,Crunchbase News reporting,Private,None,1,1
Verily,250.0,15.0,2023-01-11,"health care, data collection",San Francisco,The Information,Private,None,1,1
CyCognito,30.0,15.0,2022-12-08,cybersecurity,Palo Alto,Calcalistech,Private,None,1,1
Zumper,45.0,15.0,2022-06-16,proptech,San Francisco,The Real Deal,Private,None,1,1
Polly,47.0,15.0,2022-12-02,"insurtech, fintech","Williston, VT",VT Digger,Private,None,1,1
Woven,5.0,15.0,2022-08-16,"artificial intelligence, recruiting",Indianapolis,AdAge,Private,None,1,1
The Mom Project,54.0,15.0,2022-07-20,talent marketplace,Chicago,LinkedIn,Private,None,1,1
SonderMind,,15.0,2022-12-16,telehealth,Denver,Denver Business Journal,Private,None,0,1
Apollo,,15.0,2022-12-15,"developer apis, enterprise software",San Francisco,Apollo,Private,None,0,1
Code42,,15.0,2022-11-07,"cybersecurity, enterprise software",Minneapolis,Star Tribune,Private,None,0,1
Flowhub,,15.0,2022-09-09,cannabis,Dever,Business Insider,Private,None,0,1
Daily Harvest,,15.0,2022-08-08,"food delivery, ecommerce",New York City,Fortune,Private,None,0,1
Rock Content,,15.0,2023-01-12,"content marketing, advertising","Boca Raton, FL",Terra,Private,None,0,1
Lattice,,15.0,2023-01-12,"enterprise applications, hr",San Francisco,Lattice CEO Jack Altman,Private,None,0,1
Citrix Systems,,15.0,2023-01-10,"security, saas","Fort Lauderdale, FL",TechCrunch,Private,None,0,1
WHOOP,,15.0,2022-07-21,fitness,Boston,Front Office Sports,Private,None,0,1
Papa,,15.0,2022-07-14,elder care,Miami,LinkedIn,Private,None,0,1
Sundae,,15.0,2022-06-28,"proptech, real estate",San Francisco,Real Trends,Private,None,0,1
TruePill,,15.0,2022-06-08,health care,"Hayward, California",TruePill,Private,None,0,1
Terminus,,15.0,2022-05-27,marketing,Atlanta,LinkedIn,Private,None,0,1
Outside Inc,,15.0,2022-05-20,media/entertainment,Boulder,Denver Business Journal,Private,None,0,1
Stream,20.0,15.0,2022-06-30,communications infrastructure,Boulder,Pragmatic Engineer,Private,None,1,1
Carbon Health,450.0,16.0,2023-01-06,health care,San Francisco,Carbon Health CEO Eren Bali,Private,None,1,1
Jam City,200.0,17.0,2022-08-04,"mobile apps, gaming",Culver City,VentureBeat,Private,None,1,1
Next Insurance,150.0,17.0,2022-07-07,insurtech,Palo Alto,CTech,Private,None,1,1
OwnBackup,170.0,17.0,2022-11-15,"saas, enterprise software","Englewood Cliffs, NJ",Calcalistech,Private,None,1,1
Everlane,30.0,17.0,2023-01-05,"fashion, e-commerce",San Francisco,The Information,Private,None,1,1
Patreon,80.0,17.0,2022-09-13,social media,San Francisco,The Information,Private,None,1,1
Recharge,84.0,17.0,2022-10-27,fintech,Los Angeles,Recharge CEO,Private,None,1,1
Nextiva,,17.0,2022-12-06,customer service,Phoenix,Channel Futures,Private,None,0,1
Grove Collaborative,,17.0,2022-03-29,e-commerce,San Francisco,Retail Dive,Private,None,0,1
Lithic,27.0,18.0,2022-12-07,fintech,New York,Axios,Private,None,1,1
SQream Technologies,30.0,18.0,2022-07-06,data analytics,New York,CTech,Private,None,1,1
Emotive,30.0,18.0,2022-07-07,sms marketing,Los Angeles,dot.LA,Private,None,1,1
Amount,,18.0,2022-06-27,fintech,Chicago,TechCrunch,Private,None,0,1
Ro,,18.0,2022-06-23,health care,New York,TechCrunch,Private,None,0,1
Socure,104.0,19.0,2023-01-05,"cybsersecurity, predictive analytics","Incline Village, NV",Biometric Update,Private,None,1,1
Postscript,43.0,19.0,2022-06-26,"marketing tech, sms marketing",San Francisco,Alex Beller,Private,None,1,1
Qumolo,80.0,19.0,2022-06-29,data storage,Seattle,GeekWire,Private,None,1,1
OfferUp,,19.0,2022-11-15,"e-commerce, marketplace","Bellevue, WA",GeekWire,Private,None,0,1
Change.org,,19.0,2022-07-28,civictech,San Francisco,Change.org,Private,None,0,1
HomeLight,,19.0,2022-06-29,"proptech, real estate",San Francisco,The Real Deal,Private,None,0,1
Homeward,120.0,20.0,2022-08-11,"real estate, proptech",Austin,The Real Deal,Private,None,1,1
Turntide,130.0,20.0,2022-07-28,"cleantech, energy","Sunnyvale, CA",Business Insider,Private,None,1,1
Flyhomes,150.0,20.0,2022-07-20,"real estate, proptech",Seattle,GeekWire,Private,None,1,1
Curology,150.0,20.0,2022-03-16,e-commerce,San Francisco,SF Business Times,Private,None,1,1
MasterClass,156.0,20.0,2022-06-22,edtech,San Francisco,MasterClass CEO David Rogier,Private,None,1,1
Lacework,200.0,20.0,2022-05-26,cybersecurity,San Jose,The Information,Private,None,1,1
Equitybee,25.0,20.0,2022-10-31,fintech,San Francisco,Calcalistech,Private,None,1,1
Airtable,254.0,20.0,2022-12-08,"data science, enterprise",San Francisco,Airtable,Private,None,1,1
Plaid,260.0,20.0,2022-12-07,fintech,San Francisco,TechCrunch,Private,None,1,1
Nate,30.0,20.0,2022-08-30,e-commerce,New York,The Information,Private,"Nate reportedly had two layoffs. In June, the company laid of 30 people, or 20% of the company at the time.",1,1
Coterie Insurance,30.0,20.0,2022-05-27,insurtech,Cincinnati,CincyInno,Private,None,1,1
Intrinsic,40.0,20.0,2023-01-11,"robotics, ai","Mountain View, CA",This Information,Private,None,1,1
Rhino,57.0,20.0,2022-02-03,"proptech, insurtech",New York,The Real Deal,Private,None,1,1
Flexport,640.0,20.0,2023-01-11,shipping and logistics,San Francisco,CNBC,Private,None,1,1
Redesign Health,67.0,20.0,2022-10-10,health care,New York,Fast Company,Private,None,1,1
Astronomer,76.0,20.0,2023-01-04,"data analytics, cloud services",Cincinnati,Astronomer,Private,None,1,1
Calm,90.0,20.0,2022-08-11,"personal health, wellness",San Francisco,Wall Street Journal,Private,None,1,1
Shippo,,20.0,2022-11-03,logistics,San Francisco,Shippo CEO,Private,None,0,1
Brightline,,20.0,2022-11-01,health care,"Palo Alto, CA",Behavioral Health Business,Private,None,0,1
Scale,,20.0,2023-01-09,"ai, image recognition",San Francisco,Scale,Private,None,0,1
OpenSea,,20.0,2022-07-14,"crypto, nft marketplace",New York,Devin Finzer,Private,None,0,1
Buzzer,,20.0,2022-06-20,"media, sports",New York,Sportico,Private,None,0,1
Greenlight,104.0,21.0,2023-01-12,"fintech, banking",Atlanta,TechCrunch,Private,None,1,1
Flipboard,24.0,21.0,2022-10-16,news,"Palo Alto, CA",Axios,Private,None,1,1
Advata,32.0,21.0,2022-10-28,"health care, analytics","Bellevue, WA",GeekWire,Private,None,1,1
Superhuman,23.0,22.0,2022-06-03,email software,San Francisco,CEO Rahul Vohra,Private,None,1,1
Exodus,59.0,22.0,2022-11-04,"cryptocurrency, blockchain","Nebraska City, NE",Exodus CEO,Private,None,1,1
Tonkean,23.0,23.0,2022-06-15,software,San Francisco,The Marker,Private,None,1,1
Lokalise,76.0,23.0,2022-11-16,"saas, apis","Dover, DE",Lokalise founders,Private,None,1,1
Karbon,,23.0,2022-09-12,"productivity, task management",San Francisco,"Stuart McLeod, CEO of Karbon",Private,None,0,1
Loom,57.0,24.0,2022-10-20,enterprise communication,San Francisco,SFGate,Private,None,1,1
Cedar,,24.0,2022-07-07,health care,New York,Business Insider,Private,None,0,1
Hyperscience,100.0,25.0,2022-03-03,ai,New York,The Information,Private,None,1,1
Celsius,150.0,25.0,2022-07-03,crypto,"Hoboken, New Jersey",CTech,Private,None,1,1
Baton,16.0,25.0,2022-06-29,"transporation, logistics",San Francisco,Freight Waves,Private,None,1,1
Policygenius,170.0,25.0,2022-06-02,insurtech,New York,TechCrunch,Private,None,1,1
IRL,25.0,25.0,2022-06-02,social media,San Francisco,TechCrunch,Private,None,1,1
Vise,25.0,25.0,2022-05-04,fintech,New York,CityWire,Private,None,1,1
Section4,32.0,25.0,2022-05-12,edtech,New York,TechCrunch,Private,None,1,1
Capitolis,37.0,25.0,2022-11-17,fintech,New York,Calcalistech,Private,None,1,1
On Deck,72.0,25.0,2022-05-05,business development,San Francisco,TechCrunch,Private,None,1,1
Outschool,74.0,25.0,2022-12-10,edtech,San Francisco,TechCrunch,Private,"Outschool laid off 31 people, or 18% of the company, back in July. In December it laid off another 43 people, which amounted to 25% of the staff at the time.",1,1
OneTrust,950.0,25.0,2022-06-09,cybersecurity,Atlanta,OneTrust,Private,None,1,1
OneStudyTeam,,25.0,2022-12-06,"health care, cloud infrastructure",Boston,Mobi Health News,Private,None,0,1
Homeward,,25.0,2022-11-16,proptech,"Austin, TX",Homeward,Private,None,0,1
Medium,,25.0,2022-09-06,publishing,San Francisco,"Lauren Newton, Head of People at Medium",Private,None,0,1
SafeGraph,27.0,25.0,2022-06-27,"artificial intelligence, machine learning",San Francisco,SafeGraph,Private,None,1,1
DataRobot,,26.0,2022-08-23,"ai, enterprise software",Boston,The Information,Private,None,0,1
EquityZen,30.0,27.0,2022-10-31,fintech,New York,Axios,Private,None,1,1
Clear Capital,378.0,27.0,2022-10-14,proptech,"Truckee, CA",TechCrunch,Private,None,1,1
Shelf Engine,43.0,29.0,2022-07-29,"food tech, software, grocery tech",Seattle,GeekWire,Private,None,1,1
Veev,100.0,30.0,2022-11-11,proptech,San Mateo,Calcalistech,Private,None,1,1
Pacaso,100.0,30.0,2022-10-11,proptech,San Francisco,Inman,Private,None,1,1
Snappy,100.0,30.0,2023-01-13,"social impact, company benefits",New York,Calcalistech,Private,None,1,1
Kraken,1100.0,30.0,2022-11-30,cryptocurrency,San Francisco,Kraken,Private,None,1,1
AtoB,32.0,30.0,2022-10-19,fintech,San Francisco,SFGate,Private,None,1,1
Genesis,60.0,30.0,2023-01-05,"cryptocurrency, blockchain",New York,CNBC,Private,None,1,1
Almanac,,30.0,2022-08-13,"collaboration, productivity",San Francisco,LinkedIn,Private,None,0,1
SuperRare,,30.0,2023-01-06,"blockchain, cryptocurrency","Newark, DE",TechCrunch,Private,None,0,1
Homie,162.0,32.0,2022-10-04,proptech,"South Jordan, Utah","TechCrunch, Crunchbase News reporting",Private,None,1,1
Socure,173.0,32.0,2023-01-05,identity verification,Reno,Biometric Update,Private,None,1,1
Bolt,250.0,33.0,2022-05-25,fintech,San Francisco,Fortune,Private,None,1,1
Candy Digital,33.0,33.0,2022-11-28,cryptocurrency,New York,Decrypt,Private,None,1,1
Ideoclick,40.0,33.0,2022-05-04,e-commerce,Seattle,Puget Sound Business Journal,Private,None,1,1
Brave Care,40.0,33.0,2022-09-06,"pediatrics, telehealth",Portland,The Oregonian,Private,None,1,1
Tomo,44.0,33.0,2022-05-31,"fintech, proptech",Stamford,Business Insider,Private,None,1,1
MainStreet,50.0,33.0,2022-05-04,fintech,San Jose,Insider,Private,None,1,1
Replicated,50.0,33.0,2022-05-31,enterprise software,Los Angeles,Replicated,Private,None,1,1
Hologram,80.0,33.0,2022-06-09,iot,Chicago,Crain's Chicago Business,Private,None,1,1
Esper,,33.0,2023-01-10,devops,Seattle,GeekWire,Private,None,0,1
TruePill,,33.0,2022-09-30,"pharmaceutical, health care","Hayward, CA",TechCrunch,Private,None,0,1
Happy Money,158.0,34.0,2022-11-30,"fintech, payments",Los Angeles,LinkedIn reports,Private,None,1,1
Tonal,262.0,35.0,2022-07-13,fitness,San Francisco,CNBC,Private,None,1,1
Hydrow,70.0,35.0,2022-07-21,fitness,Boston,Boston Globe,Private,None,1,1
Callisto Media,,35.0,2022-10-25,analytics,"Emeryville, California",Publishers Weekly,Private,None,0,1
Lunchbox,,37.0,2023-01-10,"restaurant tech, food tech",New York,Business Insider,Private,None,0,1
Fabric,120.0,40.0,2022-07-13,"e-commerce, logistics",New York,TechCrunch,Private,None,1,1
Rasa,59.0,40.0,2022-04-04,artificial intelligence,San Francisco,Business Insider,Private,"Rasa was founded in Berlin but moved its headquarters to San Francisco in 2019. Layoffs affected employees in the U.S., Germany, and U.K. Layoffs affected around 40% of employees.",1,1
NCX,,40.0,2022-11-28,"renewable energy, forestry",San Francisco,NCX,Private,None,0,1
Fundbox,150.0,42.0,2022-10-25,fintech,San Francisco,Calcalistech,Private,None,1,1
Zeus Living,64.0,46.0,2022-10-20,"home decor, proptech",San Francisco,San Francisco Business Journal,Private,None,1,1
Knock,,46.0,2022-03-15,proptech,New York,The Real Deal,Private,None,0,1
Ocavu,20.0,48.0,2022-11-10,cryptocurrency,"Lehi, UT",Salt Lake Tribune,Private,None,1,1
Better.com,5000.0,50.0,2022-04-19,fintech,New York,TechCrunch,Private,None,1,1
Virgin Hyperloop,111.0,50.0,2022-02-22,transporation,Los Angeles,Fortune,Private,None,1,1
Notarize,170.0,50.0,2022-10-31,legal tech,Boston,Boston Business Journal,Private,None,1,1
Iron Ox,50.0,50.0,2022-11-02,"agtech, food and beverage",San Francisco,TechCrunch,Private,None,1,1
BloomTech,88.0,50.0,2022-12-01,edtech,San Francisco,TechCrunch,Private,None,1,1
Medly Pharmacy,,50.0,2022-09-07,"pharmacy, health care",New York,Crain's New York,Private,None,0,1
Bizzabo,220.0,60.0,2022-12-01,virtual event,New York,Calcalistech,Private,None,1,1
Parler,60.0,75.0,2023-01-10,social media,"Nashville, TN",The Verge,Private,None,1,1
Mojo Vision,,75.0,2023-01-06,"ar, health care","Saratoga, CA",TechCrunch,Private,None,0,1
Uniphore,76.0,76.0,2023-01-03,"artificial intelligence, machine learning","Palo Alto, CA",Outlook Start-Up,Private,None,1,1
Butler Hospitality,1000.0,100.0,2022-07-08,hospitality,New York,TechCrunch,Private,None,1,1
SummerBio,101.0,100.0,2022-06-20,"health care, diagnostics",Menlo Park,Bay Area Inno,Private,None,1,1
Reali,140.0,100.0,2022-08-24,proptech,"San Mateo, CA",Calcalistech,Private,None,1,1
Fast,400.0,100.0,2022-04-05,fintech,San Francisco,The Information,Private,None,1,1
Protocol Media,60.0,100.0,2022-11-15,"news, media",San Francisco,CNN,Private,None,1,1
WanderJaunt,85.0,100.0,2022-07-01,"proptech, real estate",San Francisco,Short Term Rentalz,Private,None,1,1
Wyre,,100.0,2023-01-04,"cryptocurrency, blockchain",San Francisco,Blockworks,Private,None,0,1
Lantern,,100.0,2023-01-06,"e-commerce, consumer lending","Grand Rapids, MI",Lantern CEO Meredith Mahoney,Private,None,0,1
Lora DiCarlo Inc.,,100.0,2022-12-02,"wellness, consumer goods","Bend, OR",TechCrunch,Private,None,0,1
Bitfront,,100.0,2022-11-29,cryptocurrency,"Palo Alto, CA",Reuters,Private,None,0,1
Assure,,100.0,2022-11-23,fintech,Salt Lake City,Axios,Private,None,0,1
GloriFi,,100.0,2022-11-21,fintech,Dallas,WSJ,Private,None,0,1
Kite,,100.0,2022-11-16,"ai, coding",San Francisco,Kite,Private,None,0,1
Wavely,,100.0,2022-11-10,"hiring, hr","Palo Alto, CA",Wavely,Private,None,0,1
Fifth Season,,100.0,2022-10-28,vertical farming,Pittsburgh,Pittsburgh Business Journal,Private,None,0,1
Argo AI,,100.0,2022-10-26,transportation,Pittsburgh,TechCrunch,Private,None,0,1
CommonBond,,100.0,2022-09-09,"fintech, loan repayments",New York,"David Klein, CEO of CommonBond",Private,None,0,1
The Wing,,100.0,2022-08-31,coworking,New York,The Information,Private,None,0,1
Edmodo,,100.0,2022-08-16,edtech,"San Mateo, CA",EdSurge,Private,None,0,1
Haus,,100.0,2022-08-08,food and beverage,"Healdsburg, CA",TechCrunch,Private,None,0,1
BlockFi,,100.0,2022-11-28,crypto,Jersey City,Decrypt,Private,None,0,1
Pesto,,100.0,2022-09-23,"it, future of work",San Francisco,Pesto announcement,Private,None,0,1
Kitty Hawk,,100.0,2022-09-21,aerospace,Mountain View,CNBC,Private,None,0,1
Subspace,,100.0,2022-05-13,media/entertainment,Los Angeles,LinkedIn,Private,None,0,1
Halcyon Health,,100.0,2022-04-15,health care,New York,Axios,Private,None,0,1
Ahead,,100.0,2022-04-14,health care,"Santa Clara, CA",Bloomberg,Private,None,0,1
100 Thieves,12.0,,2023-01-10,"esports, media",Los Angeles,Dexerto,Private,"More than a dozen employees were reportedly laid off in July. In January, the company laid off more employees.",1,0
Orbit,14.0,,2022-08-12,productivity software,San Francisco,Orbit CEO Patrick Woods,Private,Orbit CEO Patrick Woods announced at least 14 people have been laid off,1,0
Cybereason,100.0,,2022-06-01,cybersecurity,Boston,CTech,Private,"Affected employees are in U.S., Israel, and Europe.",1,0
Progrexion,100.0,,2022-06-07,fintech,Salt Lake City,Crunchbase News,Private,None,1,0
Gem,100.0,,2022-11-02,recruiting,San Francisco,Gem CEO,Private,None,1,0
Glossier,104.0,,2022-08-02,beauty,New York,Modern Retail,Private,None,1,0
Stripe,1050.0,,2022-11-03,fintech,San Francisco,Bloomberg,Private,None,1,0
Curative,109.0,,2022-09-20,health diagnostics,Los Angeles,Digital Health,Private,None,1,0
Noom,1095.0,,2022-10-11,fitness/digital health,New York,TechCrunch,Private,None,1,0
Homepoint,113.0,,2022-11-17,proptech,"Greenville, SC",Phoenix Business Journal,Private,None,1,0
Arc,13.0,,2022-07-20,hr tech,Mountain View,LinkedIn,Private,None,1,0
ChowNow,140.0,,2022-12-14,"restaurant tech, food tech","Playa Visa, California",Restaurant Business Online,Private,None,1,0
Healthcare.com,149.0,,2022-08-03,insurtech,"Miami, FL",Miami Inno,Private,None,1,0
Finite State,16.0,,2022-06-17,cybersecurity,Columbus,ColumbusInno,Private,None,1,0
Rad Power Bikes,163.0,,2022-07-21,transporation,Seattle,GeekWire,Private,"First round of layoffs was in April, second round in July.",1,0
Cameo,167.0,,2022-05-04,media/entertainment,Chicago,The Information,Private,None,1,0
Weedmaps,175.0,,2022-12-06,"marijuana, marketing","Irvine, CA",Business Insider,Private,None,1,0
Orchard,180.0,,2022-11-17,proptech,New York,Inman,Private,None,1,0
Clyde,19.0,,2022-04-25,e-commerce,New York,External Spreadsheet,Private,None,1,0
